"Ghazanfar Brothers
Purchase Detail Report
Date From: 25-09-2001    To: 04-07-2026",,,,,,,
Date Time,Item,Unit Name,Unit Number,Quantity,Purchase Price,Amount,Account Name
,,,,40.00,,"365,000.00",
Stock ID: 124-5109 ,,,,,,,
23-Oct-25 ,Master Carton Juicer ,,368,368,115,"42,320",Ahmad Sahab Printing
23-Oct-25 ,Box 224 St National Kettle,,810,810,66,"53,460",Ahmad Sahab Printing
,,,,"1,178.00",,"95,780.00",
Stock ID: 124-511 ,,,,,,,
08-Sep-25 ,5880 Kenwood Food Factory ,,36,36,8150,"293,400",Abid Bhai Seco 
,,,,36.00,,"293,400.00",
Stock ID: 124-5110 ,,,,,,,
23-Oct-25 ,Kettle China National,,319,319,785,"250,415",Zia & Company
,,,,319.00,,"250,415.00",
Stock ID: 124-5111 ,,,,,,,
23-Oct-25 ,820 DS Air Fryer,,10,10,12500,"125,000",Usman Shanwari
23-Oct-25 ,810 DS Air Fryer,,5,5,12500,"62,500",Usman Shanwari
,,,,15.00,,"187,500.00",
Stock ID: 124-5112 ,,,,,,,
23-Oct-25 ,3600 National 4in1 Juicer,,45,45,3550,"159,750",Sitara Trading Company
23-Oct-25 ,3600 National 4in1 Juicer,,105,105,3550,"372,750",Sitara Trading Company
,,,,150.00,,"532,500.00",
Stock ID: 124-5113 ,,,,,,,
23-Oct-25 ,552 ND National Chopper,,4,4,5133,"20,532",National Distributor
23-Oct-25 ,21 MO Microwave Oven ,,2,2,11450,"22,900",National Distributor
23-Oct-25 ,200 Spell Juicer,,3,3,4350,"13,050",National Distributor
23-Oct-25 ,656 ND National Air Fryer ,,4,4,13485,"53,940",National Distributor
,,,,13.00,,"110,422.00",
Stock ID: 124-5114 ,,,,,,,
23-Oct-25 ,553 ND National Chopper,,8,8,5133,"41,064",National Distributor
23-Oct-25 ,552 ND National Chopper,,12,12,5133,"61,596",National Distributor
23-Oct-25 ,855 ND National Chopper,,4,4,5220,"20,880",National Distributor
,,,,24.00,,"123,540.00",
Stock ID: 124-5130 ,,,,,,,
23-Oct-25 ,3063 Anex Pizza Pan,,4,4,8008,"32,032",Anex Company Farrukh Sahab
,,,,4.00,,"32,032.00",
Stock ID: 124-5131 ,,,,,,,
23-Oct-25 ,210 Raf Hot Plate,,40,40,3350,"134,000",Sitara Trading Company
23-Oct-25 ,210 Raf Hot Plate,,80,80,3350,"268,000",Sitara Trading Company
,,,,120.00,,"402,000.00",
Stock ID: 124-5133 ,,,,,,,
23-Oct-25 ,Kettle China National,,240,240,780,"187,200",Sitara Trading Company
,,,,240.00,,"187,200.00",
Stock ID: 124-515 ,,,,,,,
08-Sep-25 ,210 Dawlance White Microwave Oven,,50,50,12300,"615,000",Pasha Electronic Patiala Ground
,,,,50.00,,"615,000.00",
Stock ID: 124-5203 ,,,,,,,
23-Oct-25 ,400 St National Iron 400 Watt,,150,150,1600,"240,000",Shahid Bhai Iron
,,,,150.00,,"240,000.00",
Stock ID: 124-5204 ,,,,,,,
23-Oct-25 ,297 Dawlance Microwave Oven,,70,70,18500,"1,295,000",Farukh Bhai Dawlance 
23-Oct-25 ,297 Dawlance Microwave Oven,,30,30,18500,"555,000",Farukh Bhai Dawlance 
,,,,100.00,,"1,850,000.00",
Stock ID: 124-5205 ,,,,,,,
23-Oct-25 ,20 MH National Microwave Oven,,25,25,11300,"282,500",Multy Net Mehdi Bhai
,,,,25.00,,"282,500.00",
Stock ID: 124-5206 ,,,,,,,
23-Oct-25 ,3012 sandwich maker,,16,16,2100,"33,600",GM GUJRANALA
23-Oct-25 ,290C Chopper 3 Ltr,,2,2,2300,"4,600",GM GUJRANALA
,,,,18.00,,"38,200.00",
Stock ID: 124-5207 ,,,,,,,
23-Oct-25 ,4455 ST National Heavy Commercial 3in1 Juicer IB,,120,120,5800,"696,000",Ibrahim Khan 
23-Oct-25 ,2024 Panasonic Food Factory,,60,60,11600,"696,000",Ibrahim Khan 
,,,,180.00,,"1,392,000.00",
Stock ID: 124-5208 ,,,,,,,
23-Oct-25 ,3315 Sinbo 14 Inch Heater Moving,,713,713,1250,"891,250",small dish safdar gujranala
,,,,713.00,,"891,250.00",
Stock ID: 124-5209 ,,,,,,,
14-Oct-25 ,Button 3in1 Juicer,,648,648,80,"51,840",Raees Ahmad Peer Makki
,,,,648.00,,"51,840.00",
Stock ID: 124-521 ,,,,,,,
08-Sep-25 ,1 Litter Glass Jug,,4416,"4,416",455,"2,009,280",Sitara Traders Micro Deal 
08-Sep-25 ,Coli Glass,,4416,"4,416",0,,Sitara Traders Micro Deal 
,,,,"8,832.00",,"2,009,280.00",
Stock ID: 124-5211 ,,,,,,,
24-Oct-25 ,2059 Panasonics Chopper,,20,20,6000,"120,000",Usman Shanwari
,,,,20.00,,"120,000.00",
Stock ID: 124-5212 ,,,,,,,
24-Oct-25 ,0814 Panasonic Iron Special Polish,,150,150,1535,"230,250",Haider Sahab Iron
,,,,150.00,,"230,250.00",
Stock ID: 124-5213 ,,,,,,,
24-Oct-25 ,113 St National Special Iron,,150,150,1535,"230,250",Haider Sahab Iron
,,,,150.00,,"230,250.00",
Stock ID: 124-5214 ,,,,,,,
24-Oct-25 ,900 Abdullah Kneading Machine,,15,15,8700,"130,500",Imperial Steel National Bara
,,,,15.00,,"130,500.00",
Stock ID: 124-5215 ,,,,,,,
24-Oct-25 ,30 litter grill microwave,,20,20,20000,"400,000",Multy Net Mehdi Bhai
,,,,20.00,,"400,000.00",
Stock ID: 124-5216 ,,,,,,,
24-Oct-25 ,405 Sandwich Maker,,50,50,2000,"100,000",Asif Noori Sahab
,,,,50.00,,"100,000.00",
Stock ID: 124-522 ,,,,,,,
08-Sep-25 ,Thermopore sheet Single Dubi Blender,,7000,"7,000",5,"35,000",Atif Electronics Gujranwala
,,,,"7,000.00",,"35,000.00",
Stock ID: 124-5221 ,,,,,,,
24-Oct-25 ,555 Microwave Oven,,50,50,11600,"580,000",Sitara Traders Micro Deal 
,,,,50.00,,"580,000.00",
Stock ID: 124-5222 ,,,,,,,
24-Oct-25 ,003 stc Kenwood Kettle,,180,180,1425,"256,500",Sitara Trading Company
24-Oct-25 ,004 stc kenwood kettle,,60,60,1425,"85,500",Sitara Trading Company
,,,,240.00,,"342,000.00",
Stock ID: 124-5223 ,,,,,,,
24-Oct-25 ,004 stc kenwood kettle,,120,120,1425,"171,000",Sitara Trading Company
,,,,120.00,,"171,000.00",
Stock ID: 124-5224 ,,,,,,,
24-Oct-25 ,180 ND National 3in1 Juicer,,3,3,6786,"20,358",National Distributor
24-Oct-25 ,1804 ND National 4in1 Juicer,,2,2,7482,"14,964",National Distributor
24-Oct-25 ,854 ND National Chopper,,2,2,5220,"10,440",National Distributor
24-Oct-25 ,855 ND National Chopper,,2,2,5220,"10,440",National Distributor
,,,,9.00,,"56,202.00",
Stock ID: 124-523 ,,,,,,,
09-Sep-25 ,130 ST National Special Iron,,144,144,1675,"241,200",Haider Sahab Iron
,,,,144.00,,"241,200.00",
Stock ID: 124-524 ,,,,,,,
09-Sep-25 ,4050 Oxford 4in1 Juicer,,9,9,4515,"40,635",Sitara Trading Company
,,,,9.00,,"40,635.00",
Stock ID: 124-5241 ,,,,,,,
24-Oct-25 ,176 Semi Commercial Panasonic Juicer,,3,3,3900,"11,700",Sitara Trading Company
,,,,3.00,,"11,700.00",
Stock ID: 124-525 ,,,,,,,
09-Sep-25 ,304 Kenwood Stick Blender,,24,24,3075,"73,800",Sitara Trading Company
09-Sep-25 ,1582 Panasonic Blender,,90,90,2525,"227,250",Sitara Trading Company
,,,,114.00,,"301,050.00",
Stock ID: 124-526 ,,,,,,,
09-Sep-25 ,22 AWT Panasonic Malaysia Iron,,120,120,6650,"798,000",Noshad Rasheed Center
,,,,120.00,,"798,000.00",
Stock ID: 124-5288 ,,,,,,,
24-Oct-25 ,602 Oxford Blender,,30,30,1836.1,"55,083",Sitara Trading Company
,,,,30.00,,"55,083.00",
Stock ID: 124-529 ,,,,,,,
09-Sep-25 ,112 Philips Hand Blender,,6,6,3300,"19,800",Sitara Trading Company
,,,,6.00,,"19,800.00",
Stock ID: 124-5293 ,,,,,,,
18-Oct-25 ,Juicer White Body 3in1 7025cc,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-5294 ,,,,,,,
20-Oct-25 ,176 MS Panasonic 3in1 Juicer,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-530 ,,,,,,,
09-Sep-25 ,130 ST National Special Iron,,6,6,1675,"10,050",Haider Sahab Iron
,,,,6.00,,"10,050.00",
Stock ID: 124-535 ,,,,,,,
09-Sep-25 ,1076 Anex Iron,,8,8,6124.3,"48,994.4",Anex Company Farrukh Sahab
,,,,8.00,,"48,994.40",
Stock ID: 124-5363 ,,,,,,,
24-Oct-25 ,808 HJ Ceremics Heater,,2,2,8500,"17,000",Shahid Sahab Haseeb Traders
,,,,2.00,,"17,000.00",
Stock ID: 124-5391 ,,,,,,,
25-Oct-25 ,866 Kenwood Chopper Unbreakable,,32,32,4200,"134,400",National Distributor
,,,,32.00,,"134,400.00",
Stock ID: 124-5394 ,,,,,,,
24-Oct-25 ,20MXP4 Haier 20L Micro Oven,,86,86,12500,"1,075,000",Metro 
,,,,86.00,,"1,075,000.00",
Stock ID: 124-5410 ,,,,,,,
25-Oct-25 ,2040 P Gray Panasonic Iron,,150,150,1190,"178,500",Haider Sahab Iron
,,,,150.00,,"178,500.00",
Stock ID: 124-5411 ,,,,,,,
25-Oct-25 ,2040 N Golden National Iron,,150,150,1190,"178,500",Haider Sahab Iron
,,,,150.00,,"178,500.00",
Stock ID: 124-5412 ,,,,,,,
25-Oct-25 ,2040 P Golden Panasonic Iron,,150,150,1190,"178,500",Haider Sahab Iron
,,,,150.00,,"178,500.00",
Stock ID: 124-5413 ,,,,,,,
25-Oct-25 ,850 Silver Crest Toaster,,12,12,3100,"37,200",Javaid Rasheed Center
,,,,12.00,,"37,200.00",
Stock ID: 124-5414 ,,,,,,,
25-Oct-25 ,2055 Panasonic Iron P Golden ,,150,150,1210,"181,500",Haider Sahab Iron
,,,,150.00,,"181,500.00",
Stock ID: 124-5431 ,,,,,,,
25-Oct-25 ,004 stc kenwood kettle,,120,120,1425,"171,000",Sitara Trading Company
25-Oct-25 ,003 stc Kenwood Kettle,,120,120,1425,"171,000",Sitara Trading Company
,,,,240.00,,"342,000.00",
Stock ID: 124-5432 ,,,,,,,
25-Oct-25 ,617 Panasonic Kettle ,,240,240,1100,"264,000",Sitara Trading Company
,,,,240.00,,"264,000.00",
Stock ID: 124-5477 ,,,,,,,
25-Oct-25 ,1804 ND National 4in1 Juicer,,12,12,7482,"89,784",National Distributor
,,,,12.00,,"89,784.00",
Stock ID: 124-549 ,,,,,,,
05-Sep-25 ,Master Carton Juicer ,,100,100,115,"11,500",Ahmad Sahab Printing
,,,,100.00,,"11,500.00",
Stock ID: 124-550 ,,,,,,,
09-Sep-25 ,Master Carton Juicer ,,712,712,115,"81,880",Ahmad Sahab Printing
,,,,712.00,,"81,880.00",
Stock ID: 124-5505 ,,,,,,,
25-Oct-25 ,2224 ND National 4in1 Juicer,,27,27,7047,"190,269",National Distributor
,,,,27.00,,"190,269.00",
Stock ID: 124-5527 ,,,,,,,
25-Oct-25 ,920 Light Weight Iron,,200,200,900,"180,000",Hassan Iron Shahdara
,,,,200.00,,"180,000.00",
Stock ID: 124-5528 ,,,,,,,
25-Oct-25 ,2059 Panasonics Chopper,,200,200,6000,"1,200,000",Usman Shanwari
,,,,200.00,,"1,200,000.00",
Stock ID: 124-5552 ,,,,,,,
25-Oct-25 ,402 Food Factory ,,33,33,8100,"267,300",Usman Shanwari
25-Oct-25 ,402 Food Factory ,,18,18,8100,"145,800",Usman Shanwari
25-Oct-25 ,402 Food Factory ,,39,39,8100,"315,900",Usman Shanwari
,,,,90.00,,"729,000.00",
Stock ID: 124-5553 ,,,,,,,
25-Oct-25 ,40 MH Hot Plate,,400,400,3300,"1,320,000",Multy Net Mehdi Bhai
,,,,400.00,,"1,320,000.00",
Stock ID: 124-5554 ,,,,,,,
27-Oct-25 ,210 Raf Hot Plate,,240,240,3350,"804,000",Sitara Trading Company
,,,,240.00,,"804,000.00",
Stock ID: 124-5555 ,,,,,,,
27-Oct-25 ,825 TG Microwave Oven ,,13,13,20300,"263,900",Sitara Traders Micro Deal 
,,,,13.00,,"263,900.00",
Stock ID: 124-5556 ,,,,,,,
27-Oct-25 ,617 Panasonic Kettle ,,120,120,1100,"132,000",Sitara Trading Company
27-Oct-25 ,Kettle China National,,160,160,780,"124,800",Sitara Trading Company
,,,,280.00,,"256,800.00",
Stock ID: 124-5557 ,,,,,,,
24-Oct-25 ,Bolt Gata,,20000,"20,000",6.5,"130,000",Mehmood Muzafar Bush Nut Bolt
,,,,"20,000.00",,"130,000.00",
Stock ID: 124-5558 ,,,,,,,
25-Oct-25 ,825 TG Microwave Oven ,,12,12,20300,"243,600",Sitara Traders Micro Deal 
,,,,12.00,,"243,600.00",
Stock ID: 124-5559 ,,,,,,,
27-Oct-25 ,Button 3in1 Juicer,,1296,"1,296",80,"103,680",Raees Ahmad Peer Makki
27-Oct-25 ,blade masalah china 176,,2000,"2,000",40,"80,000",Raees Ahmad Peer Makki
27-Oct-25 ,Blade jug china 176,,2000,"2,000",45,"90,000",Raees Ahmad Peer Makki
27-Oct-25 ,Nut 7 ML FOR KAIM,,1000,"1,000",10,"10,000",Raees Ahmad Peer Makki
27-Oct-25 ,garari 6 mili china 176,,2000,"2,000",27,"54,000",Raees Ahmad Peer Makki
,,,,"8,296.00",,"337,680.00",
Stock ID: 124-5560 ,,,,,,,
27-Oct-25 ,610 Oxford Juicer,,75,75,3844.2,"288,315",Sitara Trading Company
27-Oct-25 ,3600 National 4in1 Juicer,,105,105,3550,"372,750",Sitara Trading Company
,,,,180.00,,"661,065.00",
Stock ID: 124-5561 ,,,,,,,
24-Oct-25 ,408 Panasonic Sandwich Maker,,372,372,1750,"651,000",Imran Mustafai Gujranwala
,,,,372.00,,"651,000.00",
Stock ID: 124-5566 ,,,,,,,
21-Oct-25 ,176 MS Panasonic 3in1 Juicer,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-5567 ,,,,,,,
23-Oct-25 ,Juicer White Body 3in1 7025cc,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-5571 ,,,,,,,
27-Oct-25 ,0071 Decora Handy Steamer,,20,20,5500,"110,000",Noshad Rasheed Center
,,,,20.00,,"110,000.00",
Stock ID: 124-5572 ,,,,,,,
27-Oct-25 ,176 Semi Commercial Panasonic Juicer,,3,3,3900,"11,700",Sitara Trading Company
,,,,3.00,,"11,700.00",
Stock ID: 124-5594 ,,,,,,,
25-Oct-25 ,1028 Anex Steam Iron,,6,6,6916,"41,496",Anex Company Farrukh Sahab
,,,,6.00,,"41,496.00",
Stock ID: 124-5601 ,,,,,,,
27-Oct-25 ,211 ND National Sandwich Maker,,8,8,5307,"42,456",National Distributor
27-Oct-25 ,106 ND National Sandwich Maker Steel,,30,30,3045,"91,350",National Distributor
,,,,38.00,,"133,806.00",
Stock ID: 124-561 ,,,,,,,
09-Sep-25 ,602 Russel Hobbs Hot Plate,,200,200,3400,"680,000",Zeeshan NP
,,,,200.00,,"680,000.00",
Stock ID: 124-5618 ,,,,,,,
27-Oct-25 ,2177 Touch Microwave Oven,,60,60,12200,"732,000",Usman Shanwari
,,,,60.00,,"732,000.00",
Stock ID: 124-5619 ,,,,,,,
27-Oct-25 ,523 Deuron 1.7 Ltr White Kettle,,10,10,3515,"35,150",Rizwan Shah Jee Shah Alam Lahore
,,,,10.00,,"35,150.00",
Stock ID: 124-5641 ,,,,,,,
24-Oct-25 ,1818 White Body 3in1 7025 Copper Philips,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-5642 ,,,,,,,
25-Oct-25 ,1515 KENWOOD White Body 3in1 7025 Copper,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-566 ,,,,,,,
09-Sep-25 ,5050 NS 4in1 Juicer,,3,3,4483,"13,449",Sitara Trading Company
,,,,3.00,,"13,449.00",
Stock ID: 124-5700 ,,,,,,,
27-Oct-25 ,7 MD Dawlance Microwave  Oven,,10,10,14000,"140,000",Farukh Bhai Dawlance 
27-Oct-25 ,7 MD Dawlance Microwave  Oven,,27,27,14000,"378,000",Farukh Bhai Dawlance 
,,,,37.00,,"518,000.00",
Stock ID: 124-5701 ,,,,,,,
27-Oct-25 ,20 L Nobel Microwave Oven,,1,1,11500,"11,500",Sadiq Traders Township
27-Oct-25 ,20 L Nobel Microwave Oven,,18,18,11500,"207,000",Sadiq Traders Township
27-Oct-25 ,20 L Nobel Microwave Oven,,1,1,11500,"11,500",Sadiq Traders Township
,,,,20.00,,"230,000.00",
Stock ID: 124-5719 ,,,,,,,
25-Oct-25 ,garari 6 mili china 176,,250,250,30,"7,500",Raees Ahmad Peer Makki
25-Oct-25 ,Blade jug china 176,,100,100,45,"4,500",Raees Ahmad Peer Makki
25-Oct-25 ,blade masalah china 176,,200,200,40,"8,000",Raees Ahmad Peer Makki
,,,,550.00,,"20,000.00",
Stock ID: 124-5720 ,,,,,,,
28-Oct-25 ,7630 Motor Copper,,3600,"3,600",1200,"4,320,000",Raees Ahmad Peer Makki
28-Oct-25 ,7630 Motor Copper,,1,1,1200,"1,200",Raees Ahmad Peer Makki
,,,,"3,601.00",,"4,321,200.00",
Stock ID: 124-5721 ,,,,,,,
28-Oct-25 ,Kettle China National,,160,160,780,"124,800",Sitara Trading Company
28-Oct-25 ,003 stc Kenwood Kettle,,120,120,1425,"171,000",Sitara Trading Company
,,,,280.00,,"295,800.00",
Stock ID: 124-5736 ,,,,,,,
28-Oct-25 ,9397 ND National Blender,,6,6,3306,"19,836",National Distributor
28-Oct-25 ,1055 ND National Hot Plate,,8,8,5220,"41,760",National Distributor
28-Oct-25 ,182 ND National Citrus,,8,8,3132,"25,056",National Distributor
28-Oct-25 ,9390 ND National Blender DD,,6,6,3306,"19,836",National Distributor
28-Oct-25 ,222 ND National Juicer,,3,3,6351,"19,053",National Distributor
,,,,31.00,,"125,541.00",
Stock ID: 124-5747 ,,,,,,,
27-Oct-25 ,162 Dawlance Micro Oven,,5,5,37000,"185,000",Amir Gujrat
27-Oct-25 ,162 Dawlance Micro Oven,,15,15,37000,"555,000",Amir Gujrat
,,,,20.00,,"740,000.00",
Stock ID: 124-5748 ,,,,,,,
28-Oct-25 ,Amm Small Dish SK,,998,998,680,"678,640",Asad Bhatti Gujranwala
,,,,998.00,,"678,640.00",
Stock ID: 124-5749 ,,,,,,,
28-Oct-25 ,145 Anex Hand Blender,,6,6,6825,"40,950",Anex Company Farrukh Sahab
,,,,6.00,,"40,950.00",
Stock ID: 124-579 ,,,,,,,
09-Sep-25 ,301 Kenwood Hot Plate,,24,24,3450,"82,800",Sitara Trading Company
,,,,24.00,,"82,800.00",
Stock ID: 124-5794 ,,,,,,,
28-Oct-25 ,Amm Small Dish SK,,2,2,680,"1,360",Asad Bhatti Gujranwala
,,,,2.00,,"1,360.00",
Stock ID: 124-5807 ,,,,,,,
28-Oct-25 ,Thermopore Sheet Juicer 3in1,,2580,"2,580",68,"175,440",Atif Electronics Gujranwala
28-Oct-25 ,Thermopore Sheet Juicer 3in1,,48,48,68,"3,264",Atif Electronics Gujranwala
,,,,"2,628.00",,"178,704.00",
Stock ID: 124-5808 ,,,,,,,
28-Oct-25 ,18 Kettle China NP ,,2080,"2,080",1180,"2,454,400",Zeeshan NP
,,,,"2,080.00",,"2,454,400.00",
Stock ID: 124-5809 ,,,,,,,
28-Oct-25 ,960 Y China Hitachi Vacuum Cleaner,,213,213,8500,"1,810,500",Zeeshan NP
,,,,213.00,,"1,810,500.00",
Stock ID: 124-5810 ,,,,,,,
27-Oct-25 ,176 8820 white body Panasonic Juicer 3in1 gb,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-5811 ,,,,,,,
29-Oct-25 ,Kettle China National,,320,320,780,"249,600",Sitara Trading Company
,,,,320.00,,"249,600.00",
Stock ID: 124-5812 ,,,,,,,
28-Oct-25 ,176 7030 cooper Panasonic Juicer 3in1 ,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-5825 ,,,,,,,
29-Oct-25 ,602 Oxford Blender,,30,30,1836.1,"55,083",Sitara Trading Company
,,,,30.00,,"55,083.00",
Stock ID: 124-5830 ,,,,,,,
29-Oct-25 ,Kettle China National,,160,160,785,"125,600",Zia & Company
,,,,160.00,,"125,600.00",
Stock ID: 124-5831 ,,,,,,,
29-Oct-25 ,7 MD Dawlance Microwave  Oven,,31,31,13800,"427,800",Farukh Bhai Dawlance 
29-Oct-25 ,10 MD Dawlance Microwave Oven,,29,29,13800,"400,200",Farukh Bhai Dawlance 
,,,,60.00,,"828,000.00",
Stock ID: 124-5832 ,,,,,,,
29-Oct-25 ,40 MH Hot Plate,,80,80,3300,"264,000",Multy Net Mehdi Bhai
,,,,80.00,,"264,000.00",
Stock ID: 124-5833 ,,,,,,,
29-Oct-25 ,820 DS Air Fryer,,30,30,12500,"375,000",Usman Shanwari
29-Oct-25 ,810 DS Air Fryer,,30,30,12500,"375,000",Usman Shanwari
,,,,60.00,,"750,000.00",
Stock ID: 124-5834 ,,,,,,,
29-Oct-25 ,Kettle China National,,320,320,780,"249,600",Sitara Trading Company
,,,,320.00,,"249,600.00",
Stock ID: 124-5835 ,,,,,,,
29-Oct-25 ,600 Mj Panasonic 7025 cooper juicer,,210,210,3800,"798,000",Sitara Trading Company
,,,,210.00,,"798,000.00",
Stock ID: 124-5838 ,,,,,,,
29-Oct-25 ,866 Kenwood Chopper Unbreakable,,20,20,4200,"84,000",National Distributor
,,,,20.00,,"84,000.00",
Stock ID: 124-5858 ,,,,,,,
29-Oct-25 ,180 ND National 3in1 Juicer,,15,15,6786,"101,790",National Distributor
,,,,15.00,,"101,790.00",
Stock ID: 124-5877 ,,,,,,,
29-Oct-25 ,6023 M Net Black Microwave Oven,,25,25,15000,"375,000",Multy Net Mehdi Bhai
29-Oct-25 ,6023 M Net Black Microwave Oven,,15,15,15000,"225,000",Multy Net Mehdi Bhai
,,,,40.00,,"600,000.00",
Stock ID: 124-5879 ,,,,,,,
29-Oct-25 ,393 Dawlance Microwave Oven,,32,32,23000,"736,000",Pasha Electronic Patiala Ground
,,,,32.00,,"736,000.00",
Stock ID: 124-5880 ,,,,,,,
29-Oct-25 ,510 Dawlance Blender,,40,40,5300,"212,000",Amir Gujrat
29-Oct-25 ,4 MD Black Dawlance Microwave Oven,,50,50,13500,"675,000",Amir Gujrat
,,,,90.00,,"887,000.00",
Stock ID: 124-5881 ,,,,,,,
29-Oct-25 ,10 MD Dawlance Microwave Oven,,50,50,13500,"675,000",Mohsin Bhatti Abid Market
,,,,50.00,,"675,000.00",
Stock ID: 124-5923 ,,,,,,,
29-Oct-25 ,1058 Panasonics Electric Oven,,6,6,15800,"94,800",Abid Bhai Seco 
,,,,6.00,,"94,800.00",
Stock ID: 124-5924 ,,,,,,,
29-Oct-25 ,210 S Pro Dawlance Microwave Oven,,4,4,13000,"52,000",Amir Gujrat
29-Oct-25 ,295 Dawlance Microwave Oven,,20,20,15800,"316,000",Amir Gujrat
29-Oct-25 ,374 Dawlance Microwave Oven,,10,10,20900,"209,000",Amir Gujrat
29-Oct-25 ,374 Dawlance Microwave Oven,,30,30,20900,"627,000",Amir Gujrat
29-Oct-25 ,297 Dawlance Microwave Oven,,40,40,17800,"712,000",Amir Gujrat
29-Oct-25 ,210 S Pro Dawlance Microwave Oven,,36,36,13000,"468,000",Amir Gujrat
,,,,140.00,,"2,384,000.00",
Stock ID: 124-5929 ,,,,,,,
28-Oct-25 ,882 Kenwood Blender,,30,30,2525,"75,750",Sitara Trading Company
28-Oct-25 ,1581 Panasonic Blender,,30,30,2200,"66,000",Sitara Trading Company
28-Oct-25 ,617 Panasonic Kettle ,,36,36,1100,"39,600",Sitara Trading Company
28-Oct-25 ,617 Panasonic Kettle ,,60,60,1100,"66,000",Sitara Trading Company
28-Oct-25 ,617 Panasonic Kettle ,,24,24,1100,"26,400",Sitara Trading Company
28-Oct-25 ,416 Philips Steam Iron,,36,36,1950,"70,200",Sitara Trading Company
28-Oct-25 ,4000 Juicer 4in1 8825 kenwood,,15,15,4800,"72,000",Sitara Trading Company
28-Oct-25 ,400 Juicer 3in1 8825 kenwood,,15,15,4350,"65,250",Sitara Trading Company
,,,,246.00,,"481,200.00",
Stock ID: 124-5935 ,,,,,,,
30-Oct-25 ,1055 ND National Hot Plate,,8,8,5220,"41,760",National Distributor
30-Oct-25 ,182 ND National Citrus,,8,8,3132,"25,056",National Distributor
30-Oct-25 ,9390 ND National Blender DD,,6,6,3306,"19,836",National Distributor
30-Oct-25 ,222 ND National Juicer,,15,15,6351,"95,265",National Distributor
30-Oct-25 ,9397 ND National Blender,,6,6,3306,"19,836",National Distributor
,,,,43.00,,"201,753.00",
Stock ID: 124-5939 ,,,,,,,
30-Oct-25 ,128 Dawlance Microwave Oven,,10,10,27700,"277,000",Farukh Bhai Dawlance 
30-Oct-25 ,128 Dawlance Microwave Oven,,5,5,27700,"138,500",Farukh Bhai Dawlance 
30-Oct-25 ,128 Dawlance Microwave Oven,,25,25,27700,"692,500",Farukh Bhai Dawlance 
,,,,40.00,,"1,108,000.00",
Stock ID: 124-5940 ,,,,,,,
30-Oct-25 ,1058 Panasonics Electric Oven,,51,51,15800,"805,800",Abid Bhai Seco 
,,,,51.00,,"805,800.00",
Stock ID: 124-5941 ,,,,,,,
30-Oct-25 ,015 seco hellogen 3 rad,,48,48,2200,"105,600",Abid Bhai Seco 
30-Oct-25 ,015 seco hellogen 3 rad,,56,56,2200,"123,200",Abid Bhai Seco 
,,,,104.00,,"228,800.00",
Stock ID: 124-5942 ,,,,,,,
30-Oct-25 ,007 Panasonic Kettle,,12,12,1650,"19,800",Sitara Trading Company
,,,,12.00,,"19,800.00",
Stock ID: 124-5947 ,,,,,,,
30-Oct-25 ,8084 ND National Blender DD,,6,6,3045,"18,270",National Distributor
,,,,6.00,,"18,270.00",
Stock ID: 124-5949 ,,,,,,,
30-Oct-25 ,297 Dawlance Microwave Oven,,24,24,17900,"429,600",Farukh Bhai Dawlance 
30-Oct-25 ,131 HP Dawlance Microwave Oven,,10,10,31300,"313,000",Farukh Bhai Dawlance 
30-Oct-25 ,128 Dawlance Microwave Oven,,11,11,27700,"304,700",Farukh Bhai Dawlance 
,,,,45.00,,"1,047,300.00",
Stock ID: 124-5950 ,,,,,,,
30-Oct-25 ,22 AWT Panasonic Japani Iron,,30,30,13200,"396,000",Saif Ullah Shah Jamal Center
,,,,30.00,,"396,000.00",
Stock ID: 124-5951 ,,,,,,,
03-Sep-25 ,786 Philips Air Fryer,,1,1,10000,"10,000",PPC Traders Madina Bara Center
,,,,1.00,,"10,000.00",
Stock ID: 124-5954 ,,,,,,,
30-Oct-25 ,306 ND National Iron,,10,10,2436,"24,360",National Distributor
,,,,10.00,,"24,360.00",
Stock ID: 124-5955 ,,,,,,,
30-Oct-25 ,11 IB Microwave Oven Black,,40,40,11650,"466,000",Ibrahim Khan 
30-Oct-25 ,22 IB Microwave Oven White,,40,40,11650,"466,000",Ibrahim Khan 
,,,,80.00,,"932,000.00",
Stock ID: 124-596 ,,,,,,,
09-Sep-25 ,22 AWT Panasonic Japani Iron,,18,18,13100,"235,800",Noshad Rasheed Center
,,,,18.00,,"235,800.00",
Stock ID: 124-5987 ,,,,,,,
