"Ghazanfar Brothers
Purchase Detail Report
Date From: 25-09-2001    To: 04-07-2026",,,,,,,
Date Time,Item,Unit Name,Unit Number,Quantity,Purchase Price,Amount,Account Name
Stock ID: 124-10438 ,,,,,,,
08-Dec-25 ,555 Microwave Oven,,25,25,11400,"285,000",Sitara Traders Micro Deal 
,,,,25.00,,"285,000.00",
Stock ID: 124-10439 ,,,,,,,
08-Dec-25 ,Kettle China National,,400,400,780,"312,000",Sitara Trading Company
,,,,400.00,,"312,000.00",
Stock ID: 124-10440 ,,,,,,,
08-Dec-25 ,374 Dawlance Microwave Oven,,20,20,21500,"430,000",Ali Ahmad Mustafa Center
08-Dec-25 ,131 HP Dawlance Microwave Oven,,20,20,31100,"622,000",Ali Ahmad Mustafa Center
08-Dec-25 ,295 Dawlance Microwave Oven,,20,20,15400,"308,000",Ali Ahmad Mustafa Center
08-Dec-25 ,297 Dawlance Microwave Oven,,25,25,18400,"460,000",Ali Ahmad Mustafa Center
,,,,85.00,,"1,820,000.00",
Stock ID: 124-10441 ,,,,,,,
08-Dec-25 ,128 Dawlance Microwave Oven,,5,5,27700,"138,500",Farukh Bhai Dawlance 
08-Dec-25 ,128 Dawlance Microwave Oven,,10,10,27700,"277,000",Farukh Bhai Dawlance 
08-Dec-25 ,128 Dawlance Microwave Oven,,15,15,27700,"415,500",Farukh Bhai Dawlance 
08-Dec-25 ,374 Dawlance Microwave Oven,,4,4,21500,"86,000",Farukh Bhai Dawlance 
,,,,34.00,,"917,000.00",
Stock ID: 124-10465 ,,,,,,,
08-Dec-25 ,3600 National 4in1 Juicer,,105,105,3550,"372,750",Sitara Trading Company
,,,,105.00,,"372,750.00",
Stock ID: 124-10473 ,,,,,,,
08-Dec-25 ,3600 National 4in1 Juicer,,15,15,3550,"53,250",Sitara Trading Company
,,,,15.00,,"53,250.00",
Stock ID: 124-10487 ,,,,,,,
09-Dec-25 ,Kettle China National,,400,400,780,"312,000",Sitara Trading Company
,,,,400.00,,"312,000.00",
Stock ID: 124-10488 ,,,,,,,
09-Dec-25 ,222 Kenwood Microwave Oven,,13,13,11300,"146,900",Sitara Traders Micro Deal 
,,,,13.00,,"146,900.00",
Stock ID: 124-10489 ,,,,,,,
09-Dec-25 ,4030 Philips Hot Plate double,,15,15,8500,"127,500",Sitara Trading Company
09-Dec-25 ,3600 National 4in1 Juicer,,30,30,3550,"106,500",Sitara Trading Company
,,,,45.00,,"234,000.00",
Stock ID: 124-10491 ,,,,,,,
09-Dec-25 ,1040 GB National Gray Iron,,294,294,1180,"346,920",Haider Sahab Iron
09-Dec-25 ,1040 GB Panasonic Iron Gray,,6,6,1180,"7,080",Haider Sahab Iron
,,,,300.00,,"354,000.00",
Stock ID: 124-10492 ,,,,,,,
09-Dec-25 ,Kettle China National,,360,360,780,"280,800",Multy Net Mehdi Bhai
,,,,360.00,,"280,800.00",
Stock ID: 124-10493 ,,,,,,,
09-Dec-25 ,1040 GB Panasonic Iron Gray,,300,300,1180,"354,000",Haider Sahab Iron
,,,,300.00,,"354,000.00",
Stock ID: 124-10494 ,,,,,,,
09-Dec-25 ,376 Raf Hand Blender,,482,482,1900,"915,800",Raza Khan Ghousia Market
,,,,482.00,,"915,800.00",
Stock ID: 124-1051 ,,,,,,,
15-Sep-25 ,333 microwave glass door,,2,2,12200,"24,400",Sitara Traders Micro Deal 
,,,,2.00,,"24,400.00",
Stock ID: 124-1052 ,,,,,,,
15-Sep-25 ,602 Russel Hobbs Hot Plate,,16,16,3400,"54,400",Zeeshan NP
,,,,16.00,,"54,400.00",
